area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P041/N01,Penaga,Penaga,Mohd Yusni Mat Piah,Mohd Yusni Bin Mat Piah,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Penaga,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N01,Penaga,Penaga,Mohd Zain Ahmad,Mohd Zain Bin Ahmad,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Penaga,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N02,Bertam,Bertam,Khaliq Mehtab Mohd Ishaq,Khaliq Mehtab Bin Mohd Ishaq,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bertam,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N02,Bertam,Bertam,Mokhtar Ramly,Mokhtar Bin Ramly,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bertam,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N02,Bertam,Bertam,Shariful Azhar Othman,Shariful Azhar Bin Othman,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bertam,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N03,Pinang Tunggal,Pinang Tunggal,Ahmad Zaki Yuddin Abd Rahman,Ahmad Zaki Yuddin Bin Abd Rahman,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Pinang Tunggal,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N03,Pinang Tunggal,Pinang Tunggal,Bukhori Ghazali,Bukhori Bin Ghazali,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Pinang Tunggal,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P041/N03,Pinang Tunggal,Pinang Tunggal,Roslan Saidin,Roslan Bin Saidin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Pinang Tunggal,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P042/N04,Permatang Berangan,Permatang Berangan,Azman Shah Othman,Azman Shah Bin Othman,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Berangan,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P042/N04,Permatang Berangan,Permatang Berangan,Mohd Sobri Saleh,Mohd Sobri Bin Saleh,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Berangan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P042/N04,Permatang Berangan,Permatang Berangan,Mohd Shariff Omar,Mohd Shariff Bin Omar,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Berangan,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P042/N04,Permatang Berangan,Permatang Berangan,Nor Hafizah Othman,Nor Hafizah Binti Othman,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Berangan,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P042/N05,Sungai Dua,Sungai Dua,Muhamad Yusoff Mohd Noor,Muhamad Yusoff Bin Mohd Noor,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Dua,,National Front,Barisan Nasional,UMNO,,,,,,,
P042/N05,Sungai Dua,Sungai Dua,Yusri Isahak,Yusri Bin Isahak,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Dua,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P042/N05,Sungai Dua,Sungai Dua,Zahadi Mohd,Zahadi Bin Mohd,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Dua,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P042/N06,Telok Ayer Tawar,Telok Ayer Tawar,Lee Thian Hong,Lee Thian Hong,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Telok Ayer Tawar,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P042/N06,Telok Ayer Tawar,Telok Ayer Tawar,Mohamad Hanif Haron,Mohamad Hanif Bin Haron,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Telok Ayer Tawar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P042/N06,Telok Ayer Tawar,Telok Ayer Tawar,Mustafa Kamal Ahmad,Mustafa Kamal Bin Ahmad,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Telok Ayer Tawar,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P042/N06,Telok Ayer Tawar,Telok Ayer Tawar,Zamri Che Ros,Zamri Bin Che Ros,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Telok Ayer Tawar,,National Front,Barisan Nasional,UMNO,,,,,,,
P043/N07,Sungai Puyu,Sungai Puyu,Lim Hai Song,Lim Hai Song,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Puyu,,National Front,Barisan Nasional,UMNO,,,,,,,
P043/N07,Sungai Puyu,Sungai Puyu,Neoh Bok Keng,Neoh Bok Keng,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Puyu,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,
P043/N07,Sungai Puyu,Sungai Puyu,Ong Yin Yin,Ong Yin Yin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Puyu,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P043/N07,Sungai Puyu,Sungai Puyu,Phee Boon Poh,Phee Boon Poh,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Puyu,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P043/N07,Sungai Puyu,Sungai Puyu,Tan Lay Hock,Tan Lay Hock,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Sungai Puyu,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P043/N08,Bagan Jermal,Bagan Jermal,Ang Chor Keong,Ang Chor Keong,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Jermal,,National Front,Barisan Nasional,MCA,,,,,,,
P043/N08,Bagan Jermal,Bagan Jermal,Fabian George Albart,Fabian George Albart,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Jermal,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P043/N08,Bagan Jermal,Bagan Jermal,Hari Devyndran Muniswaran,Hari Devyndran A/L Muniswaran,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Jermal,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,
P043/N08,Bagan Jermal,Bagan Jermal,Soon Lip Chee,Soon Lip Chee,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Jermal,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P043/N08,Bagan Jermal,Bagan Jermal,Teoh Chai Deng,Teoh Chai Deng,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Jermal,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P043/N09,Bagan Dalam,Bagan Dalam,Dhinagaran Jayabalan,Dhinagaran A/L Jayabalan,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Dalam,,National Front,Barisan Nasional,MIC,,,,,,,
P043/N09,Bagan Dalam,Bagan Dalam,Jasper Ooi Zong Han,Jasper Ooi Zong Han,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Dalam,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P043/N09,Bagan Dalam,Bagan Dalam,Satess Muniandy,Satess A/L Muniandy,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Dalam,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P043/N09,Bagan Dalam,Bagan Dalam,Teoh Huck Ping,Teoh Huck Ping,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Dalam,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P043/N09,Bagan Dalam,Bagan Dalam,Teoh Uat Lye,Teoh Uat Lye,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bagan Dalam,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,
P044/N10,Seberang Jaya,Seberang Jaya,Abu Bakar Sidekh Zainul Abidin,Abu Bakar Sidekh Bin Zainul Abidin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Seberang Jaya,,National Front,Barisan Nasional,UMNO,,,,,,,
P044/N10,Seberang Jaya,Seberang Jaya,Afif Bahardin,Afif Bin Bahardin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Seberang Jaya,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P044/N10,Seberang Jaya,Seberang Jaya,Ahmad Rafaei A Rashid,Ahmad Rafaei Bin A Rashid,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Seberang Jaya,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P044/N11,Permatang Pasir,Permatang Pasir,Anuar Faisal Yahaya,Anuar Faisal Bin Yahaya,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Pasir,,National Front,Barisan Nasional,UMNO,,,,,,,
P044/N11,Permatang Pasir,Permatang Pasir,Muhammad Faiz Fadzil,Muhammad Faiz Bin Fadzil,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Pasir,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P044/N11,Permatang Pasir,Permatang Pasir,Muhammad Fauzi Yusoff,Muhammad Fauzi Bin Yusoff,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Permatang Pasir,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P044/N12,Penanti,Penanti,Muhammad Fawwaz Mohamad Jan,Muhammad Fawwaz Bin Mohamad Jan,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Penanti,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P044/N12,Penanti,Penanti,Norlela Ariffin,Norlela Binti Ariffin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Penanti,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P044/N12,Penanti,Penanti,Suhaimi Sabudin,Suhaimi Bin Sabudin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Penanti,,National Front,Barisan Nasional,UMNO,,,,,,,
P045/N13,Berapit,Berapit,Goh Swee Gim,Goh Swee Gim,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Berapit,,National Front,Barisan Nasional,MCA,,,,,,,
P045/N13,Berapit,Berapit,Heng Lee Lee,Heng Lee Lee,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Berapit,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P045/N13,Berapit,Berapit,Lee Poh Kong,Lee Poh Kong,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Berapit,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P045/N13,Berapit,Berapit,Song Chee Meng,Song Chee Meng,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Berapit,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P045/N14,Machang Bubuk,Machang Bubuk,Lee Khai Loon,Lee Khai Loon,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Machang Bubuk,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P045/N14,Machang Bubuk,Machang Bubuk,Lim Jhun Hou,Lim Jhun Hou,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Machang Bubuk,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,
P045/N14,Machang Bubuk,Machang Bubuk,Md Jamil Abd Rahman,Md Jamil Bin Abd Rahman,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Machang Bubuk,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P045/N14,Machang Bubuk,Machang Bubuk,Tan Teik Cheng,Tan Teik Cheng,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Machang Bubuk,,National Front,Barisan Nasional,MCA,,,,,,,
P045/N14,Machang Bubuk,Machang Bubuk,Tang Ah Ba,Tang Ah Ba,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Machang Bubuk,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P045/N15,Padang Lalang,Padang Lalang,Chong Eng,Chong Eng,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Padang Lalang,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P045/N15,Padang Lalang,Padang Lalang,Kuan Hin Yeep,Kuan Hin Yeep,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Padang Lalang,,National Front,Barisan Nasional,MCA,,,,,,,
P045/N15,Padang Lalang,Padang Lalang,Lai Yean Nee,Lai Yean Nee,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Padang Lalang,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P045/N15,Padang Lalang,Padang Lalang,Liew Ee Jin,Liew Ee Jin,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Padang Lalang,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P046/N16,Perai,Perai,Asoghan Govindaraju,Asoghan A/L Govindaraju,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Perai,,People's Alternative Party,Parti Alternatif Rakyat,PAP,,,,,,,
P046/N16,Perai,Perai,Kumary Retnam,Kumary Retnam,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Perai,,Independent,Bebas,,,,,,,,
P046/N16,Perai,Perai,Ooi Khar Giap,Ooi Khar Giap,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Perai,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P046/N16,Perai,Perai,P. Ramasamy Palanisamy,P. Ramasamy A/L Palanisamy,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Perai,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P046/N16,Perai,Perai,Samuganathan Muniandy,Samuganathan Muniandy,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Perai,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P046/N16,Perai,Perai,Suresh Muniandy,Suresh Muniandy,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Perai,,National Front,Barisan Nasional,MIC,,,,,,,
P046/N17,Bukit Tengah,Bukit Tengah,Edward Joseph,Edward Joseph,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tengah,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P046/N17,Bukit Tengah,Bukit Tengah,Gooi Hsiao-Leung,Gooi Hsiao-Leung,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tengah,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P046/N17,Bukit Tengah,Bukit Tengah,Norazman Ishak,Norazman Bin Ishak,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tengah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P046/N17,Bukit Tengah,Bukit Tengah,Tang Hiang Lye,Tang Hiang Lye,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tengah,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P046/N17,Bukit Tengah,Bukit Tengah,Thor Teong Gee,Thor Teong Gee,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tengah,,National Front,Barisan Nasional,GERAKAN,,,,,,,
P046/N18,Bukit Tambun,Bukit Tambun,Goh Bee Koon,Goh Bee Koon,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tambun,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P046/N18,Bukit Tambun,Bukit Tambun,Goh Choon Aik,Goh Choon Aik,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tambun,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P046/N18,Bukit Tambun,Bukit Tambun,Hartini Tan Abdullah,Hartini Tan Binti Abdullah,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tambun,,National Front,Barisan Nasional,GERAKAN,,,,,,,
P046/N18,Bukit Tambun,Bukit Tambun,Kumaravelu Arumugam,Kumaravelu A/L Arumugam,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tambun,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P046/N18,Bukit Tambun,Bukit Tambun,Ong Seong Lu,Ong Seong Lu,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Bukit Tambun,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P047/N19,Jawi,Jawi,Daphne Edward,Daphne A/P Edward,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Jawi,,Penang Front Party,Penang Front Party,PFP,,,,,,,
P047/N19,Jawi,Jawi,H'ng Mooi Lye,H'ng Mooi Lye,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Jawi,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P047/N19,Jawi,Jawi,Kiew Hen Chong,Kiew Hen Chong,GE14 Candidate for Pulau Pinang Assembly,,GE14 Candidate State Representative for Jawi,,National Front,Barisan Nasional,UMNO,,,,,,,
